ss_code,product_name,price,currency
53-45-60,DATACARDS: RAVEN GUARD (ENGLISH),19.0,USD
53-46-60,DATACARDS: IRON HANDS (ENGLISH),19.0,USD
53-48,DATACARDS: IMPERIAL FISTS (ENGLISH),19.0,USD
53-50,DATACARDS: SALAMANDERS (ENGLISH),19.0,USD
53-80,SPACE WOLVES UPGRADES,16.0,USD
54-01-03,CODEX: IMPERIAL KNIGHTS (ABR.) (HB) SPA,36.0,USD
54-01-60,CODEX: IMPERIAL KNIGHTS (HB) (ENGLISH),41.0,USD
54-02-60,DATACARDS: IMPERIAL KNIGHTS (ENGLISH),19.0,USD
54-13,IMPERIAL KNIGHTS ARMIGER HELVERINS,76.0,USD
54-14,IMPERIAL KNIGHTS: KNIGHT VALIANT,172.0,USD
54-15,KNIGHT PRECEPTOR CANIS REX,159.0,USD
54-16,IMPERIAL KNIGHTS: KNIGHT CASTELLAN,172.0,USD
54-17,IMPERIAL KNIGHTS: ARMIGER WARGLAIVES,76.0,USD
55-02,CODEX: ULTRAMARINES (HB) (ENGLISH),31.0,USD
55-02,CODEX: ULTRAMARINES (HB) (SPANISH),31.0,USD
55-03,CODEX: WHITE SCARS (HB) (ENGLISH),31.0,USD
55-03,CODEX: WHITE SCARS (HB) (SPANISH),31.0,USD
55-04,CODEX: RAVEN GUARD (HB) (ENGLISH),31.0,USD
55-04,CODEX: RAVEN GUARD (HB) (SPANISH),31.0,USD
55-05,CODEX: IRON HANDS (HB) (ENGLISH),31.0,USD
55-05,CODEX: IRON HANDS (HB) (SPANISH),31.0,USD
55-06,CODEX: IMPERIAL FISTS (ENGLISH),31.0,USD
55-06,CODEX: IMPERIAL FISTS (SPANISH),31.0,USD
55-07,CODEX: SALAMANDERS (ENGLISH),31.0,USD
55-07,CODEX: SALAMANDERS (SPANISH),31.0,USD
